dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
4cdb3967-f927-4272-90ee-cbfb87930d4b,"Primary Census Abstract for Ghaziabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Ghaziabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/4cdb3967-f927-4272-90ee-cbfb87930d4b
b01a8ef2-9e2a-446e-b7c8-79c81a03559f,"Primary Census Abstract for Sitapur District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-15,2022-04-29,"Primary Census Abstract for Sitapur District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/b01a8ef2-9e2a-446e-b7c8-79c81a03559f
3e46e33a-1b5c-4c1c-ae61-1f85c69b23cb,"Primary Census Abstract for Bulandshahar District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Bulandshahar District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/3e46e33a-1b5c-4c1c-ae61-1f85c69b23cb
e0b2cd31-2310-455d-a3d4-6cb631cc3f01,"Primary Census Abstract for Banda District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Banda District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/e0b2cd31-2310-455d-a3d4-6cb631cc3f01
397e8fde-d22f-4faa-831b-fad226f4df75,"Final Population Totals for Jhansi District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Jhansi District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/397e8fde-d22f-4faa-831b-fad226f4df75
b9c4af2a-b06c-49a1-8284-88ec4cab3a72,"Final Population Totals for Varanasi District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Varanasi District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/b9c4af2a-b06c-49a1-8284-88ec4cab3a72
c410fb18-e9a2-4b94-977d-6b16b10310cb,"Final Population Totals for Jalaun District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Jalaun District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/c410fb18-e9a2-4b94-977d-6b16b10310cb
115e9737-f599-4701-b65f-15097c9b4188,"Final Population Totals for Siddharthnagar District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Siddharthnagar District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/115e9737-f599-4701-b65f-15097c9b4188
6d88ee18-54ab-49b6-8738-01ab30d4f119,"Final Population Totals for Muzaffarnagar District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Muzaffarnagar District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/6d88ee18-54ab-49b6-8738-01ab30d4f119
8affa909-b74c-4a2e-b7fb-a157999a4ed3,"Final Population Totals for Auraiya District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Auraiya District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/8affa909-b74c-4a2e-b7fb-a157999a4ed3
85140d12-1dc5-47d4-b684-b1e11dfed591,"Final Population Totals for Agra District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Agra District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/85140d12-1dc5-47d4-b684-b1e11dfed591
a58d4b91-f353-4ebf-9aee-3ac007db313b,"Final Population Totals for Kannauj District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Kannauj District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/a58d4b91-f353-4ebf-9aee-3ac007db313b
